0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:25:58 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:25:58 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:25:58 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:26:03 +0200] "GET /Actori/index.html HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:26:04 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:26:04 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:26:08 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:26:08 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:26:08 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:26:08 +0200] "GET /Actori/index.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:26:09 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:29:20 +0200] "GET /Actori/index.html HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:29:21 +0200] "GET /Actori/assets/earwig_factory/persona.otf HTTP/1.1" 200 53940
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:29:39 +0200] "GET /Actori/index.html HTTP/1.1" 200 1907
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:31:44 +0200] "GET /Actori/index.html HTTP/1.1" 200 1907
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:33:43 +0200] "GET /Actori/index.html HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:34:25 +0200] "GET /Actori/index.html HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:35:17 +0200] "GET /Actori/index.html HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:35:19 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:36:33 +0200] "GET /Actori/index.html HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:36:52 +0200] "GET /Actori/index.html HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:37:15 +0200] "GET /Actori/index.html HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:37:42 +0200] "GET /Actori/index.html HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:38:01 +0200] "GET /Actori/index.html HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:38:44 +0200] "GET /Actori/index.html HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:39:52 +0200] "GET /Actori/index.html HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:39:56 +0200] "GET /Actori/tabela_actori.jsp HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:41:13 +0200] "GET /Actori/index.html HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:41:21 +0200] "GET /Actori/index.html HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:41:25 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:41:26 +0200] "GET /Actori/index.html HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:41:31 +0200] "GET /Actori/index.html HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:42:34 +0200] "GET /Actori/index.html HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:44:34 +0200] "GET /Actori/index.html HTTP/1.1" 200 2453
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:44:44 +0200] "GET /Actori/index.html HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:44:57 +0200] "GET /Actori/index.html HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:45:09 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:45:09 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:45:09 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:45:10 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:45:21 +0200] "GET /Actori/index.html HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:49:58 +0200] "GET /Actori/index.html HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:50:11 +0200] "GET /Actori/tabela_teatre.jsp HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:50:30 +0200] "GET /Actori/tabela_actori.jsp HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:50:47 +0200] "GET /Actori/index.html HTTP/1.1" 200 2293
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:51:07 +0200] "GET /Actori/index.html HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:55:00 +0200] "GET /Actori/index.html HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:57:29 +0200] "GET /Actori/index.html HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:57:29 +0200] "GET /Actori/assets/earwig_factory/pers.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:57:54 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:57:54 +0200] "GET /Actori/assets/earwig_factory/pers.ttf HTTP/1.1" 200 27120
